WINNER,WIN_BY,NUM_OF_ROUNDS,LAST_ROUND,LAST_ROUND_TIME,TOTAL_FIGHT_TIME,WEIGHT_CATEGORY,TITLE_BOUT,REFEREE,DATE,LOCATION,R_NAME,R_AGE,R_HEIGHT,R_WEIGHT,R_REACH,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TD,R_TD_ATT,R_SUB_ATT,R_REV,R_CTRL,R_SIG_HEAD,R_SIG_HEAD_ATT,R_SIG_BODY,R_SIG_BODY_ATT,R_SIG_LEG,R_SIG_LEG_ATT,R_SIG_DIST,R_SIG_DIST_ATT,R_SIG_CLINCH,R_SIG_CLINCH_ATT,R_SIG_GROUND,R_SIG_GROUND_ATT,B_NAME,B_AGE,B_HEIGHT,B_WEIGHT,B_REACH,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TD,B_TD_ATT,B_SUB_ATT,B_REV,B_CTRL,B_SIG_HEAD,B_SIG_HEAD_ATT,B_SIG_BODY,B_SIG_BODY_ATT,B_SIG_LEG,B_SIG_LEG_ATT,B_SIG_DIST,B_SIG_DIST_ATT,B_SIG_CLINCH,B_SIG_CLINCH_ATT,B_SIG_GROUND,B_SIG_GROUND_ATT
James Irvin,KO/TKO,3,2,9,309,Light Heavyweight,False,Steve Mazzagatti,"August 20, 2005","Las Vegas, Nevada, USA",James Irvin,26.0,188.0,93.0,190.5,1,6,7,9,10,0,0,0,0,4,,,,,,,,,,,,,Terry Martin,24.0,172.7,83.9,180.3,0,12,13,33,34,2,4,0,0,287,,,,,,,,,,,,
Nate Marquardt,Decision - Unanimous,3,3,300,900,Middleweight,False,John McCarthy,"August 06, 2005","Las Vegas, Nevada, USA",Nate Marquardt,26.0,182.9,83.9,188.0,0,21,63,27,70,2,2,2,0,301,,,,,,,,,,,,,Ivan Salaverry,34.0,182.9,83.9,,0,23,66,46,89,0,3,0,0,9,,,,,,,,,,,,
Chris Leben,Decision - Split,3,3,300,900,Middleweight,False,Herb Dean,"August 06, 2005","Las Vegas, Nevada, USA",Chris Leben,25.0,180.3,83.9,185.4,0,26,63,185,234,1,5,0,0,547,,,,,,,,,,,,,Patrick Cote,25.0,180.3,77.1,190.5,0,26,63,30,67,1,2,0,0,121,,,,,,,,,,,,
Stephan Bonnar,Decision - Unanimous,3,3,300,900,Light Heavyweight,False,John McCarthy,"August 06, 2005","Las Vegas, Nevada, USA",Stephan Bonnar,28.0,193.0,93.0,200.7,0,43,91,105,162,3,7,1,1,589,,,,,,,,,,,,,Sam Hoger,25.0,188.0,93.0,,0,11,29,52,71,1,1,2,1,127,,,,,,,,,,,,
Nate Quarry,KO/TKO,3,1,42,42,Middleweight,False,Cecil Peoples,"August 06, 2005","Las Vegas, Nevada, USA",Nate Quarry,33.0,182.9,83.9,182.9,1,3,8,3,8,0,0,0,0,1,,,,,,,,,,,,,Pete Sell,23.0,180.3,77.1,190.5,0,2,12,2,12,0,0,0,0,0,,,,,,,,,,,,
Josh Koscheck,Submission,3,1,113,113,Welterweight,False,Steve Mazzagatti,"August 06, 2005","Las Vegas, Nevada, USA",Josh Koscheck,27.0,177.8,77.1,185.4,0,0,2,4,6,1,3,1,0,90,,,,,,,,,,,,,Pete Spratt,34.0,175.3,77.1,,0,0,2,1,3,0,0,0,0,0,,,,,,,,,,,,
Mike Swick,KO/TKO,3,1,22,22,Middleweight,False,Herb Dean,"August 06, 2005","Las Vegas, Nevada, USA",Mike Swick,26.0,185.4,77.1,195.6,1,7,10,7,10,0,0,0,0,3,,,,,,,,,,,,,Gideon Ray,32.0,177.8,83.9,,0,1,3,1,3,0,0,0,0,0,,,,,,,,,,,,
Kenny Florian,KO/TKO,3,2,172,472,Welterweight,False,Cecil Peoples,"August 06, 2005","Las Vegas, Nevada, USA",Kenny Florian,29.0,177.8,65.8,188.0,0,38,68,42,72,1,2,0,0,40,,,,,,,,,,,,,Alex Karalexis,27.0,172.7,70.3,167.6,0,18,66,27,75,0,0,0,0,65,,,,,,,,,,,,
Drew Fickett,Submission,3,1,95,95,Welterweight,False,Steve Mazzagatti,"August 06, 2005","Las Vegas, Nevada, USA",Drew Fickett,25.0,177.8,70.3,177.8,0,1,3,6,8,2,3,1,0,70,,,,,,,,,,,,,Josh Neer,22.0,180.3,77.1,182.9,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
Andrei Arlovski,KO/TKO,5,1,250,250,Heavyweight,True,John McCarthy,"June 04, 2005","Atlantic City, New Jersey, USA",Andrei Arlovski,26.0,190.5,108.9,195.6,0,33,56,33,56,0,0,0,0,7,,,,,,,,,,,,,Justin Eilers,26.0,185.4,106.6,,0,5,21,7,23,0,1,0,0,0,,,,,,,,,,,,
